Cat Course,Subj Code,Crse Numb,Csta Code,Long Course Title,Coll Code,Coll Desc,Dept Desc,Cat Preq Term Code Eff,Cat Preq Seqno,Cat Preq Connector,Cat Preq Conn Desc,Cat Preq Lparen,Cat Preq Course,Cat Preq Subj Code,Cat Preq Crse Numb,Cat Preq Levl Code,Cat Preq Min Grde,Preq,Cat Preq Concurrency Ind,Cat Preq Rparen,Cat Preq Tesc Code,Cat Preq Test Score
AADM 780,AADM,780,A,Applied Research Methods,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 785,AADM,785,A,Research Design in the Arts,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM 798,AADM,798,A,Thesis Development,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,201615,1,,,,AADM 785,AADM,785,GR,C,1,,,,
AADM 799,AADM,799,A,Thesis Completion,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,201615,2,,,,AADM 798,AADM,798,GR,CR,1,,,,
AADM I599,AADM,I599,A,Independent Study in AADM,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM I699,AADM,I699,A,Independent Study in AADM,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM I799,AADM,I799,A,Independent Study in AADM,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM I899,AADM,I899,A,Independent Study in AADM,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM I999,AADM,I999,A,Independent Study in AADM,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM T580,AADM,T580,A,Speical Topics in AADM,A,Antoinette Westphal COMAD,Arts Administration,,,,,, ,,,,,1,,,,
AADM T680,AADM,T680,A,Special Topics in Arts Administration,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM T780,AADM,T780,A,Special Topics in Arts Administration,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM T880,AADM,T880,A,Special Topics in Arts Administration,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AADM T980,AADM,T980,A,Special Topics in Arts Administration,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 525,AAML,525,A,Legal and Ethical Issues in Arts and Culture,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 550,AAML,550,A,Management Techniques in Arts and Cultural Organizations,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 560,AAML,560,A,Marketing & Engagement in Arts and Cultural Orgs.,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 575,AAML,575,A,Revenue Development in Arts and Cultural Orgs.,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 610,AAML,610,A,Financial Accounting in Arts and Cultural Orgs.,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,201815,1,,,,ACCT 110,ACCT,110,UG,D,1,,,,
AAML 660,AAML,660,A,Technology Tools for Arts and Cultural Managers,A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
AAML 680,AAML,680,A,"Leadership, Strategy & Planning in Arts and Cult.",A,Antoinette Westphal COMAD,Arts & Entertainment Enterpris,,,,,, ,,,,,1,,,,
ABRD 055,ABRD,55,A,Study Abroad in Belgium,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 056,ABRD,56,A,Study Abroad SEA Program,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 100,ABRD,100,A,Independent Study Abroad,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 105,ABRD,105,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 110,ABRD,110,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 115,ABRD,115,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 120,ABRD,120,A,Study Abroad in Paris and London,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 125,ABRD,125,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 130,ABRD,130,A,Study Abroad in Costa Rica,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 135,ABRD,135,A,Study Abroad in Sweden,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 140,ABRD,140,A,Study Abroad in Equatorial Guinea,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 145,ABRD,145,A,Study Abroad in Taiwan,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 150,ABRD,150,A,Study Abroad in Denmark,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 155,ABRD,155,A,Study Abroad in Australia,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 160,ABRD,160,A,Study Abroad in Hong Kong,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 165,ABRD,165,A,Study Abroad in Korea,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 170,ABRD,170,A,Study Abroad in Prague,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 175,ABRD,175,A,Study Abroad in Crete,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 180,ABRD,180,A,Study Abroad in England,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 185,ABRD,185,A,Abroad at London College of Fashion,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 190,ABRD,190,A,Study Abroad in Turkey,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 195,ABRD,195,A,Study Abroad in Israel,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 200,ABRD,200,A,Study Abroad in France,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 205,ABRD,205,A,Study Abroad in Scotland,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 210,ABRD,210,A,Study Abroad in Germany,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 215,ABRD,215,A,Study Abroad in Egypt,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 220,ABRD,220,A,Study Abroad in Jordan,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 230,ABRD,230,A,Study Abroad in Hong Kong,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 235,ABRD,235,A,Study Abroad in Italy,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 240,ABRD,240,A,Study Abroad in Russia,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 250,ABRD,250,A,Study Abroad in Hungary,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 255,ABRD,255,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 260,ABRD,260,A,Study Abroad in Singapore,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 265,ABRD,265,A,,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 270,ABRD,270,A,Study Abroad in Finland,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 280,ABRD,280,A,Study Abroad in Ireland,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 300,ABRD,300,A,Study Abroad in Japan,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 305,ABRD,305,A,Study Abroad in Dublin and London,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 310,ABRD,310,A,Study Abroad in London and Amman,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 315,ABRD,315,A,,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 340,ABRD,340,A,Study Abroad in India,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 345,ABRD,345,A,Study Abroad in Senegal,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 350,ABRD,350,A,Study Abroad Berlin & London,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 355,ABRD,355,A,Study Abroad in Indonesia,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 457,ABRD,457,A,Study Abroad in China,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 499,ABRD,499,A,Study Abroad,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 510,ABRD,510,A,Study Abroad in Germany,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 515,ABRD,515,A,Study Abroad in Spain,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 520,ABRD,520,A,Grad Study Abroad Argentina,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 525,ABRD,525,A,Grad Study Abroad in France,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 530,ABRD,530,A,Grad Study Abroad in China,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 535,ABRD,535,A,Grad Study Abroad in Italy,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 540,ABRD,540,A,"Graduate Study Abroad, EAGLES",X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 545,ABRD,545,A,,X,Miscellaneous,LLL/Evening Col & Prof Studies,,,,,, ,,,,,1,,,,
ABRD 557,ABRD,557,A,Study Abroad in China,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD 599,ABRD,599,A,Study Abroad,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ABRD T180,ABRD,T180,A,Special Topics in Study Abroad,X,Miscellaneous,Study Abroad,,,,,, ,,,,,1,,,,
ACCT 110,ACCT,110,A,Accounting for Professionals,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 115,ACCT,115,A,Financial Accounting Foundations,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 116,ACCT,116,A,Managerial Accounting Foundations,B,Bennett S. LeBow Coll. of Bus.,Accounting,201615,1,,,,ACCT 115,ACCT,115,UG,D,1,,,,
ACCT 116,ACCT,116,A,Managerial Accounting Foundations,B,Bennett S. LeBow Coll. of Bus.,Accounting,201615,2,O,Or,,ACCT 110,ACCT,110,UG,D,1,,,,
ACCT 120,ACCT,120,A,Accounting Essentials for New Ventures,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 320,ACCT,320,A,Fundamentals of Accounting for New Ventures,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,2,,,,ACCT 115,ACCT,115,UG,C,1,,,,
ACCT 320,ACCT,320,A,Fundamentals of Accounting for New Ventures,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,4,A,And,,ACCT 116,ACCT,116,UG,C,1,,,,
ACCT 321,ACCT,321,A,Financial Reporting I,B,Bennett S. LeBow Coll. of Bus.,Accounting,200615,1,,,,ACCT 115,ACCT,115,UG,C,1,,,,
ACCT 322,ACCT,322,A,Financial Reporting II,B,Bennett S. LeBow Coll. of Bus.,Accounting,200615,1,,,,ACCT 321,ACCT,321,UG,C,1,,,,
ACCT 323,ACCT,323,A,Financial Reporting III,B,Bennett S. LeBow Coll. of Bus.,Accounting,200615,1,,,,ACCT 322,ACCT,322,UG,C,1,,,,
ACCT 329,ACCT,329,A,Advanced Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201815,1,,,,ACCT 322,ACCT,322,UG,C,1,,,,
ACCT 331,ACCT,331,A,Cost Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,200615,1,,,,ACCT 116,ACCT,116,UG,C,1,,,,
ACCT 341,ACCT,341,A,Principles of Auditing,B,Bennett S. LeBow Coll. of Bus.,Accounting,200615,1,,,,ACCT 322,ACCT,322,UG,C,1,,,,
ACCT 344,ACCT,344,A,Internal Auditing,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 360,ACCT,360,A,Lead & Learn: Financial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201815,2,A,And,,ACCT 322,ACCT,322,UG,B,1,,,,
ACCT 360,ACCT,360,A,Lead & Learn: Financial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201815,1,,,,ACCT 321,ACCT,321,UG,B,1,,,,
ACCT 510,ACCT,510,A,Essentials of Financial Reporting,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 600,ACCT,600,A,Accounting Analysis & Theory,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,2,O,Or,,ACCT 627,ACCT,627,GR,C,1,,,,
ACCT 600,ACCT,600,A,Accounting Analysis & Theory,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,1,,,,ACCT 323,ACCT,323,UG,C,1,,,,
ACCT 601,ACCT,601,A,Managerial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201815,1,,,,BUSN 501,BUSN,501,GR,C,1,,,,
ACCT 601,ACCT,601,A,Managerial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201815,6,O,Or,,ACCT 510,ACCT,510,GR,C,1,,,,
ACCT 603,ACCT,603,A,Strategic Cost Management,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,,,,, ,,,,,1,,,,
ACCT 604,ACCT,604,A,International Financial Reporting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201115,,,,, ,,,,,1,,,,
ACCT 605,ACCT,605,A,Assurance Services,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,,,,, ,,,,,1,,,,
ACCT 606,ACCT,606,A,Current Issues in the Accounting Profession,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 607,ACCT,607,A,Forensic Investigation,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,,,,, ,,,,,1,,,,
ACCT 608,ACCT,608,A,Government and Not-for-Profit Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201115,,,,, ,,,,,1,,,,
ACCT 622,ACCT,622,A,Advanced Financial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,2,O,Or,,ACCT 627,ACCT,627,GR,C,1,,,,
ACCT 622,ACCT,622,A,Advanced Financial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,1,,,,ACCT 323,ACCT,323,UG,C,1,,,,
ACCT 625,ACCT,625,A,Financial Accounting Theory I,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 626,ACCT,626,A,Financial Accounting Theory II,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,2,,,,ACCT 625,ACCT,625,GR,C,1,,,,
ACCT 627,ACCT,627,A,Financial Accounting Theory III,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,2,,,,ACCT 626,ACCT,626,GR,C,1,,,,
ACCT 628,ACCT,628,A,Accounting Valuation Issues,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,,,,, ,,,,,1,,,,
ACCT 631,ACCT,631,A,Cost Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,1,,,,ACCT 601,ACCT,601,GR,C,1,,,,
ACCT 631,ACCT,631,A,Cost Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,2,O,Or,,ACCT 603,ACCT,603,GR,C,1,,,,
ACCT 640,ACCT,640,A,Auditing Theory and Philosophy,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,1,,,,ACCT 322,ACCT,322,UG,C,1,,,,
ACCT 640,ACCT,640,A,Auditing Theory and Philosophy,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,2,O,Or,,ACCT 626,ACCT,626,GR,C,1,,,,
ACCT 644,ACCT,644,A,Internal Auditing,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 648,ACCT,648,A,Introduction to Accounting Research,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 650,ACCT,650,A,Accounting Information Systems,B,Bennett S. LeBow Coll. of Bus.,Accounting,201215,,,,, ,,,,,1,,,,
ACCT 790,ACCT,790,A,Seminar in Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201915,,,,, ,,,,,1,,,,
ACCT 910,ACCT,910,A,Research Methods in Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,201415,,,,, ,,,,,1,,,,
ACCT 912,ACCT,912,A,Applied Research Methods in Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 921,ACCT,921,A,Empirical Research in Accounting I,B,Bennett S. LeBow Coll. of Bus.,Accounting,201415,,,,, ,,,,,1,,,,
ACCT 922,ACCT,922,A,Empirical Research in Accounting II,B,Bennett S. LeBow Coll. of Bus.,Accounting,200445,2,,,,ACCT 921,ACCT,921,GR,C,1,,,,
ACCT 931,ACCT,931,A,Behavioral Research in Accounting I,B,Bennett S. LeBow Coll. of Bus.,Accounting,201415,,,,, ,,,,,1,,,,
ACCT 941,ACCT,941,A,Doctoral Seminar in Managerial Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 942,ACCT,942,A,Doctorial Seminar in Auditing Research,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT 998,ACCT,998,A,Dissertation Research in Accounting,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I199,ACCT,I199,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I299,ACCT,I299,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I399,ACCT,I399,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I499,ACCT,I499,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I599,ACCT,I599,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I699,ACCT,I699,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I799,ACCT,I799,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I899,ACCT,I899,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT I999,ACCT,I999,A,Independent Study in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T180,ACCT,T180,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T280,ACCT,T280,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T380,ACCT,T380,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T480,ACCT,T480,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T580,ACCT,T580,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T680,ACCT,T680,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T780,ACCT,T780,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T880,ACCT,T880,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ACCT T980,ACCT,T980,A,Special Topics in ACCT,B,Bennett S. LeBow Coll. of Bus.,Accounting,,,,,, ,,,,,1,,,,
ADGD I199,ADGD,I199,A,Independent Study in ADGD,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD I299,ADGD,I299,A,Independent Study in ADGD,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD I399,ADGD,I399,A,Independent Study in ADGD,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD I499,ADGD,I499,A,Independent Study in ADGD,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD T180,ADGD,T180,A,Special Topics in Advertising Design,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD T280,ADGD,T280,A,Special Topics in Advertising Design,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD T380,ADGD,T380,A,Special Topics in Advertising Design,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
ADGD T480,ADGD,T480,A,Special Topics in Advertising Design,A,Antoinette Westphal COMAD,Design,,,,,, ,,,,,1,,,,
AE 220,AE,220,A,Introduction to HVAC,E,College of Engineering,"Civil, Arch, & Environ Engr",201715,5,O,Or,,CHE 206,CHE,206,UG,D,1,,,,
AE 220,AE,220,A,Introduction to HVAC,E,College of Engineering,"Civil, Arch, & Environ Engr",201715,2,A,And,,CAEE 203,CAEE,203,UG,D,1,,),,
